ocorrencia, data_ocorrencia
Cliente nao consegue ativar o mouse,2023-04-29
Mouse não funciona corretamente!,2023-04-30
A meia veio furada,2023-05-01
Foi enviado apenas um pé da meia,2023-05-02
O fone de ouvido funciona apenas em um orelha,2023-05-03
O jogo imagem e ação veio faltando peças,2023-05-04
O calcao deveria vir lacrado,2023-05-05
A cor do tenis poderia ser mais brilhante,2023-05-06
A tela do celular está quebrada,2023-05-07
O carregador não encaixa direito,2023-05-08
A capa do livro veio rasgada,2023-05-09
O controle remoto não funciona,2023-05-10
O pacote chegou aberto,2023-05-11
O CD está arranhado,2023-05-12
O DVD está pulando,2023-05-13
A impressora não imprime,2023-05-14
A tampa da caneta está solta,2023-05-15
O teclado está com algumas teclas travadas,2023-05-16
A câmera fotográfica não liga,2023-05-17
O relógio está adiantado,2023-05-18
O relógio está atrasado,2023-05-19
O aspirador de pó não suga,2023-05-20
A TV não sintoniza canais,2023-05-21
O ferro de passar está vazando água,2023-05-22
O liquidificador está fazendo barulho estranho,2023-05-23
O micro-ondas não aquece,2023-05-24
O secador de cabelo não funciona,2023-05-25
O mixer está com o botão quebrado,2023-05-26
A batedeira está com o motor fraco,2023-05-27
A cafeteira não esquenta,2023-05-28
O monitor do computador está piscando,2023-05-29
O roteador não está emitindo sinal Wi-Fi,2023-05-30
O telefone sem fio está com chiado,2023-05-31
O carregador do laptop está superaquecendo,2023-06-01
A bateria do celular não segura carga,2023-06-02
O controle do ar-condicionado não funciona,2023-06-03
A válvula da panela de pressão está vazando,2023-06-04
O cabo HDMI está com mal contato,2023-06-05
O cabo de rede está danificado,2023-06-06






